TeamNumber,TeamName,TeamShortName,ImageFileName,TeamColor
1,Canada,CAN,CAN.png,D80027ff
2,Poland,POL,POL.png,D80027ff
3,Finland,FIN,FIN.png,0052B4ff
4,Denmark,DNK,DNK.png,D80027ff
5,Brazil,BRA,BRA.png,6DA544ff
6,Germany,DEU,DEU.png,333333ff
7,France,FRA,FRA.png,002266ff
8,United Kingdom,GBR,GBR.png,0052B4ff
9,Sweden,SWE,SWE.png,0052B4ff
10,Norway,NOR,NOR.png,D80027ff
11,Spain,ESP,ESP.png,FFDA44ff
12,Austria,AUT,AUT.png,D80027ff
13,Turkey,TUR,TUR.png,D80027ff
14,USA,USA,USA.png,0052B4ff
15,Portugal,PRT,PRT.png,496E2Dff
16,Argentina,ARG,ARG.png,338AF3ff
17,Korea,KOR,KOR.png,0052B4ff
18,Japan,JPN,JPN.png,EEEEEEff
19,Australia,AUS,AUS.png,002266ff
20,China,CHN,CHN.png,D80027ff
21,Croatia,HRV,HRV.png,0052B4ff
22,Greece,GRC,GRC.png,338AF3ff
23,Ukraine,UKR,UKR.png,FFDA44ff
24,Italy,ITA,ITA.png,6DA544ff
25,Europe,EU,EU.png,0052B4ff
26,Switzerland,CHE,CHE.png,DA291Cff
27,Saudi Arabia,SAU,SAU.png,496E2Dff
28,South Africa,ZAF,ZAF.png,333333ff